ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
135.89561203,50.47204106,SDSS0903+5028,3.605,0.388,135.8955,50.472,0.025,I=18.51/2,I=19.93,,2,2.99,,,"['SDSS0903Vcc.gif', 'SDSS0903I.gif', 'SDSS0903Icc.gif', 'SDSS0903Hcc.gif', 'SDSS0903H.gif', 'SDSS0903V.gif']",SDSS J0919+2720,Serendipitous,2011-10-01,QSO-GAL,A,Quadruply  imaged quasar. Anomalous flux ratio between images A and D at the time of the discovery. Two sets of arcs with different colours can be seen on  the HST frames.,0.0,,SIE model,,,139.85927,27.347509999999996,SDSS J091926.22+272051.0,1,1
138.254375,52.99134166666667,,,,,,,,,,,,,,,SDSS J0956+5100,SLACS,2006-02,GAL-GAL,A,"This  system includes a small round red companion to the N of the lens galaxy, not to be confused with the prominent lensed images.",3.0,1.33,SIE model,297.0,16.0,149.12406000000001,51.00186,SL2SJ095921+020638,1,1
5.67049154,14.51956525,B1422+231,3.62,0.34,216.15870833333332,22.9335,0.048,I=14.81/4,I=19.66,F5=557,4E,1.68,8.2±2.0,,"['B1422Icc.gif', 'B1422V.gif', 'B1422I.gif', 'B1422.gif', 'B1422H.gif', 'B1422Vcc.gif', 'B1422Hcc.gif']",,,,,,,,,,,,,,,1,1
150.36920833333332,50.465805555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
149.12406000000001,51.00186,,,,,,,,,,,,,,,ACS J001426.26-302255.9,Serendipitous,2012-06-15,GAL-GAL,A,Arc,1.0,1.0,SIE model,397.0,55.0,3.6094169999999997,-30.382194000000002,8 O'Clock Arc,1,1
155.29591666666664,49.22511111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
150.33700000000002,55.897059999999996,,,,,,,,,,,,,,,SL2S J020210-110912,SL2S,2011-09-08,GRP-GAL,A,"The SDSS spectrum shows two objects superimposed, the z = 0.44 galaxy and a star. Cataloged at http://www.ast.cam.ac.uk/ioa/research/cassowary/",0.0,,,,,30.54375,-11.153244,SA2,1,1
178.82229166666664,63.772777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
189.20416666666662,62.20611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
239.29970833333329,37.359972222222225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
240.4185416666666,43.279944444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
252.68099999999993,42.862500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
